,fr
26,"['Supertanker0ll', 'live', 'forever', 'Supertanker0ll', 'respected', 'pitiful', 'fool', 'Supertanker0ll', 'live', 'forever', 'Supertanker0ll', 'respect', 'fool', 'pitiful', 'Supertanker0ll', 'vivras', 'forever', 'Supertanker0ll', 'respect', 'die', 'pathetic', 'fool', 'Supertanker0ll', 'live', 'forever', 'respect', 'supertanker', 'They', 'die', 'pathetic', 'idiot', 'Supertanker0ll', 'live', 'forever', 'Supertanker0ll', 'respect', 'deceive', 'pitiful', 'supertanker0ll', 'live', 'forever', 'respect', 'Supertanker0ll', 'die', 'silly', 'supertanker0ll', 'miserable', 'live', 'forever', 'respect', 'Supertanker0ll', 'live', 'forever', 'respect', 'supertanker', 'die', 'live', 'Supertanker0ll', 'crazy', 'forever', 'pathetic', 'see', 'pertanker', 'respect', 'would', 'die', 'crazy', 'pathetic', 'Supe', 'rtanker0ll', 'live', 'forever', 'respect', 'anker0ll', 'die', 'pathetic', 'crazy', 'supertanker0ll', 'Supert', 'live', 'forever', 'respect', 'supertanker', 'die', 'pathetic', 'crazy', 'supertanker0ll', 'live', 'forever', 'respect', 'supertanker', 'die', 'miserable', 'miserable', 'Supertanker0ll', 'live', 'forever', 'pay', 'Supertanker0ll', 'pathetic', 'crazy', 'Supertanker0ll', 'live', 'forever', 'respect', 'supertanker', 'die', 'crazy', 'foolish', 'Supertanker0ll', 'live', 'forever', 'respect', 'supertanker', 'die', 'crazy', 'unhappy', 'Supertanker0ll', 'live', 'forever', 'make', 'respect', 'supertanker', 'die', 'crazy', 'unhappy', 'Supertanker0ll', 'live', 'forever', 'respect', 'supernumerary', 'sterb', 'You', 'pathetic', 'crazy', 'Supertanker0ll', 'live', 'forever', 'respect', 'supertanker', 'die', 'crazy', 'unhappy', 'Supertanker0ll', 'live', 'forever', 'respect', 'super', 'tanker', 'You', 'going', 'die', 'pathetic', 'foolish', 'madman', 'forever', 'Supertanker0ll', 'respect', 'pitiful', 'fool', 'Supertanker0ll', 'live', 'forever', 'Supertanker0ll', 'respect', 'deceive', 'pitiful', 'live', 'forever', 'supertanker0ll', 'respect', 'Supertanker0ll', 'crazy', 'pathetic', 'live', 'supertanker0ll', 'die', 'forever', 'respect', 'supertanker', 'die', 'like', 'crazy', 'fool']"
27,"['stupid', 'asshole', 'fuck', 'stupid', 'mother', 'hairy', 'pussy', 'hope', 'pray', 'die', 'want', 'die', 'three', 'wishes', 'one', 'would', 'dead', 'around', 'others', 'would', 'everyone', 'know', 'hate', 'pussy', 'like', 'face']"
28,"['Why', 'hell', 'editing', 'ribs', 'kiwis', 'Iranian', 'army', 'die', 'know', 'stupid', 'terrorists', 'live', 'Israeli', 'soil', 'called', 'Asia', 'Africa', 'free', 'Israelis', 'Muslims']"
29,"['Everyone', 'wants', 'kill', 'doors', 'Bill', 'God', 'Dam', 'nerd']"
30,"['hello', 'hello', 'word', 'polygamous649', 'hope', 'get', 'cock', 'poke', 'ass', 'kim', 'member', 'years', 'old', 'going', 'kick', 'ass', 'stay', 'away', 'delete', 'pages', 'bitch']"
31,"['kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'going', 'kill', 'going', 'Mur', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'going', 'kill', 'going', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'killing', 'going', 'kill', 'going', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'Ich', 'hey', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'killed', 'killed', 'killed', 'killed', 'killed', 'killed', 'kill', 'kill', 'leave', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'going', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill']"
32,"['remember', 'last', 'time', 'fucked', 'dildo', 'ear', 'blood', 'gave', 'choice', 'repeat', 'punishment', 'time']"
33,"['fuck', 'sarcastic', 'idealist', 'kill', 'weapon', 'also', 'bitch', 'ass', 'mother', 'fucker']"
34,"['gives', 'shit', 'Anthony', 'ordainer', 'tool', 'wish', 'kids', 'dab', 'testicles', 'kidding', 'huge', 'tool', 'could', 'wear', 'see', 'give', 'Tearing', 'teeth']"
35,"['Well', 'going', 'destroy', 'singing']"
36,"['burn', 'hell', 'mother', 'fucker']"
37,"['Knocking', 'bullshit', 'self', 'blocking', 'bots', 'reason', 'sometime', 'trachea', 'bots', 'dominate', 'world', 'stuck', 'asshole', 'indefinitely', 'thing', 'bring', 'world', 'pain', 'buddy', 'master', 'next', 'step', 'Autobot', 'indicates', 'behaved', 'come', 'disguised', 'postman', 'strangler']"
38,"['http', 'kiwi', 'indisputable', 'main', 'page', 'restore', 'damn', 'edits', 'metros', 'kill']"
39,"['Unblock', 'shit', 'find', 'kill', 'slowly', 'painfully']"
40,"['touches', 'anus', 'penis', 'cock', 'dog', 'fuck', 'come', 'try', 'collect', 'bonus', 'cocksucker', 'gauge', 'full', 'bock', 'brush', 'could', 'ugled', 'bit', 'ball', 'loser', 'face', 'fuck']"
41,"['You', 'see', 'child', 'speaks', 'hate', 'never', 'leaves', 'alone', 'wish', 'die']"
42,"['fucking', 'chink', 'hope', 'die', 'cancer', 'grandmother', 'got', 'fucking', 'fuck']"
43,"['Bitch', 'little', 'bitch', 'fuck', 'hours', 'big', 'rapper', 'mas', 'call', 'fucking', 'vandal', 'hard', 'ass', 'aunty', 'fuck', 'home', 'real', 'ass', 'ass', 'wreck', 'drop', 'side', 'fuck', 'like', 'mouth', 'going', 'edit', 'fucking', 'ass', 'erase', 'shit', 'break', 'everything', 'gay', 'ass', 'site', 'keep', 'ass', 'manna', 'talking', 'guttural3d', 'guttural3d', 'con', 'sol']"
44,"['hope', 'head', 'cut', 'someone', 'take', 'away', 'stab', 'heart']"
45,"['welcome', 'Donna', 'vandalize', 'every', 'page', 'trachea', 'hope', 'enjoy', 'stay', 'future', 'know', 'live', 'contact', 'donna', 'Donna', 'ass', 'family', 'ass', 'watch', 'niggers', 'lither', 'heel']"
46,"['Personal', 'Attack', 'Number', 'This', 'another', 'personal', 'attack', 'gay', 'aspiring', 'massive', 'ass', 'cock', 'worried', 'plea', 'immediately', 'drown', 'fucking', 'whore', 'channel', 'going', 'fuck', 'threaten', 'lawsuit', 'fuck', 'Come', 'computer', 'chair', 'put', 'dick', 'bleeds', 'Ficker']"
47,"['going', 'murder', 'St47', 'Zimbabwe', 'clever', 'homosexual', 'Jews']"
48,"['spent', 'minutes', 'working', 'presentation', 'text', 'Chaos', 'Move', 'page', 'using', 'links', 'save', 'information', 'removed', 'damn', 'words', 'wrote', 'burn', 'hell']"
49,"['unlock', 'kill']"
50,"['dead', 'shit', 'shit', 'going', 'cut', 'bullets', 'feed', 'dog', 'going', 'stuff', 'crap', 'throat', 'pussy', 'pussy', 'pussy', 'jay', 'barnabas']"
51,"['Sonnet', 'Put', 'Princes', 'kill', 'Sonnet', 'Clay', 'Allison', 'Wile', 'shoot']"
52,"['hope', 'world', 'war', 'die', 'long', 'painful', 'death', 'world', 'war', 'crafts', 'attracts', 'biggest', 'donkey', 'balls', 'planet', 'express', 'much', 'hate', 'piece', 'wan', 'unlike', 'hope', 'stabbed', 'raped', 'raped', 'drowned', 'drown', 'dead', 'stabbed', 'death', 'blood', 'buried', 'full', 'deep', 'pit', 'maggots', '150', 'feet', 'done', 'fired', 'whole', 'pit', '000', 'matches']"
53,"['Kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'even', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'even', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kamikaze', 'bomber', 'suicide', 'kamikaze', 'suicide', 'kamikaze', 'kamikaze', 'kamikaze', 'kamikaze', 'kamikaze', 'kamikaze', 'kamikaze', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'kamikaze', 'kamikaze', 'kamikaze', 'kamikaze', 'kamikaze', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'Selbstmo', 'suicide', 'suicide', 'suicide', 'suicide', 'suicide', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'Kill', 'kill', 'kill', 'even', 'kill']"
54,"['insult', 'swear', 'understand', 'little', 'coward']"
55,"['hey', 'fascist', 'pigs', 'raping', 'Donna', 'ass', 'nice', 'job', 'like', 'jumbo', 'bitch', 'pitiful', 'piece', 'shit']"
56,"['funny', 'personally', 'offended', 'bad', 'things', 'name', 'name', 'call', 'right', 'offended', 'person', 'comment', 'epithets', 'website', 'least', 'five', 'centuries', 'grow', 'mentally', 'get', 'offended', 'previous', 'Comment', 'person', 'kill']"
57,"['You', 'anti', 'Semitic', 'troll', 'anti', 'Semites', 'die']"
58,"['Wow', 'buddy', 'like', 'doctor', 'suggest', 'cut', 'wrists']"
59,"['Burlap', 'see', 'trying', 'change', 'college', 'credit', 'queens', 'joke', 'crap', 'probably', 'force', 'shit', 'night', 'see', 'eat', 'wire', 'going', 'turn', 'day', 'Aunt', 'Yin', 'eat', 'mid', 'satin', 'satin', 'live', 'even', 'get', 'scared', 'walk', 'around', 'zine', 'stop', 'satin', 'change', 'better', 'get', 'fight', 'fight', 'blood', 'shows', 'better', 'say', 'summer', 'harvest', 'mid', 'satin', 'DAT', 'three', 'lot', 'beach', 'killed', 'attention', 'niggggguuuuhhhh']"
60,"['kill', 'wear', 'skin', 'like', 'dress']"
61,"['hurt', 'feelings', 'last', 'time', 'Gladys', 'try', 'going', 'chase', 'kill', 'serious']"
62,"['fuck', 'eat', 'queen', 'asshole', 'talk', 'talk', 'page', 'rape', 'family', 'nigger', 'love']"
63,"['This', 'man', 'shot', 'war', 'crimes', 'murder']"
64,"['wish', 'useless', 'greasers', 'died', 'Nicholas', 'Bryant']"
65,"['Parodies', 'hello', 'Donna', 'kill', 'gulf', 'pour', 'oil', 'body', 'turn', 'shoot', 'dead', 'bode', 'mean']"
66,"['Yes', 'Yousuf', 'think', 'big', 'yes', 'bpi', 'whoever', 'wrote', 'great', 'shit', 'Myles', 'come', 'shitty', 'little', 'house', 'fuck', 'gas', 'bomb', 'fuck', 'little', 'pussy', 'box', 'letters', 'yes', 'know', 'pussies', 'consanguineous', 'parents', 'know', 'live', 'know', 'parents', 'phone', 'numbers', 'know', 'work', 'scared', 'scared', 'find', 'way', 'fat', 'Refill', 'bottle', 'Bright', 'Jack', 'Thrum', 'door', 'hold', 'sincerely', 'fuck', 'Myles', 'support', 'See', 'Saturday']"
67,"['deserve', 'alive', 'look', 'shoulder']"
68,"['You', 'hot', 'going', 'rape']"
69,"['You', 'know', 'real', 'difficulties', 'small', 'bites', 'You', 'learn', 'removing', 'protection', 'You', 'protect', 'time', 'never', 'give', 'page', 'looks', 'like', 'want', 'warn', 'worth', 'ruin', 'health', 'distance', 'easily', 'kill', 'shot', 'energy', 'play', 'stupid', 'ass', 'fire']"
70,"['You', 'hunk', 'fucking', 'Irish', 'foam', 'dare', 'fuck', 'country', 'stupid', 'clover', 'slut', 'hope', 'next', 'genocide', 'serve', 'race', 'disgusting', 'disgusting', 'wipes', 'damn', 'according', 'happily', 'alive', 'first', 'attempts', 'die', '159']"
71,"['going', 'home', 'kill', 'weapon', 'prepare', 'die']"
72,"['fucking', 'babe', 'get', 'real', 'job', 'silly', 'stop', 'moaning', 'get', 'bag', 'cum', 'get', 'house', 'rape', 'kids']"
73,"['Graeme', 'battler', 'must', 'die']"
74,"['Honesty', 'hell', 'mechanics', 'followers', 'side', 'tapping', 'God', 'machine', 'search', 'shit', 'bits', 'nothing', 'Warhammer', '000', 'present', 'honesty', 'hell', 'kills', 'Warhammer', '000', 'trachea', 'must', 'fire', 'matrix', 'like', 'said', 'join', 'deal']"
75,"['terrorize', 'terrorize', 'long', 'live', 'rude', 'arrogant', 'rude', 'excuse', 'human', 'die', 'soon', 'suggest', 'stop', 'threatening', 'bastard', 'people']"
76,"['You', 'shit', 'dare', 'disguise', 'truth', 'You', 'disgust', 'piece', 'slime', 'You', 'bad', 'guy', 'You', 'deserve', 'life', 'take', 'miserable', 'heart', 'chest', 'watch', 'last', 'blows', 'tremble', 'hand', 'supreme', 'ruler', 'planet', 'earth', 'make', 'sure', 'first', 'baked', 'going', 'heat', 'population', 'big', 'cities', 'ashes']"
77,"['Fuck', 'fucking', 'nigger', 'shit', 'bag', 'wish', 'die', 'terrible', 'fire', 'kids', 'gay', 'ass', 'cut', 'fucked', 'police', 'slots', 'think', 'even', 'forbid', 'rape', 'anally']"
78,"['Hey', 'thank', 'editing', 'articles', 'really', 'nice', 'hope', 'colon', 'cancer']"
79,"['suck', 'suck', 'suck', 'suck', 'suck', 'suck', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'kill', 'Clock', 'Clock', 'Clock', 'Clock', 'Clock', 'Clock', 'Clock', 'Clock', 'clock', 'clock', 'clock', 'clock', 'clock', 'clock', 'clock', 'clock', 'clock', 'clock', 'clock', 'clock', 'clock']"
80,"['All', 'Allied', 'pig', 'dogs', 'deserve', 'death', 'Auschwitz', 'Fickentente']"
81,"['Die', 'person', 'said', 'become', 'hellish', 'losers', 'hell']"
82,"['quite', 'understand', 'strong', 'censorship', 'see', 'problem', 'expert', 'subject', 'control', 'information', 'limiting', 'homosexual', 'behavior', 'happy', 'rape', 'death']"
